node_id,x,y,z,ux,uy,uz
62525,616.6666666666666,-22.903125,43.013888888888886,-0.00017103349577392667,0.011575965083192726,0.08112840302818172
62526,616.6666666666666,-22.903125,45.27777777777778,-0.00012261658102843148,0.019370738531669467,0.08113861143503652
62527,616.6666666666666,-22.903125,47.541666666666664,-7.985731057655588e-05,0.0271563743077987,0.0811524680821363
62528,616.6666666666666,-22.903125,49.80555555555556,-4.0429940254861216e-05,0.03493669935946857,0.08117077695407755
62529,616.6666666666666,-22.903125,52.06944444444444,-2.126505587285404e-06,0.04271759997362371,0.0811928537235265
62530,616.6666666666666,-22.903125,54.33333333333333,3.7087168871325587e-05,0.05050761116949565,0.08121561706273339
62531,616.6666666666666,-22.903125,56.59722222222222,7.907162254843459e-05,0.05832315583426405,0.08123115593761972
62532,616.6666666666666,-22.903125,58.861111111111114,0.00012595776744285173,0.06619151339643335,0.08123798338655831
62533,616.6666666666666,-22.903125,61.125,0.0001806559450497001,0.07411130891968831,0.08125810731680368
62534,616.6666666666666,-21.490277777777777,40.75,-0.00026550378962843176,0.0037784835319865395,0.07624290695350384
62535,616.6666666666666,-21.490277777777777,43.013888888888886,-0.0002120749993844036,0.011585318091520974,0.07625005641450577
62536,616.6666666666666,-21.490277777777777,45.27777777777778,-0.00016500318704536847,0.0193787112399479,0.07625766255649537
62537,616.6666666666666,-21.490277777777777,47.541666666666664,-0.000122743183008014,0.027162202938567855,0.0762679346219653
62538,616.6666666666666,-21.490277777777777,49.80555555555556,-8.338145258851335e-05,0.03494068027652117,0.07628102046756227
62539,616.6666666666666,-21.490277777777777,52.06944444444444,-4.499758062042267e-05,0.04272077935029524,0.07629530734888657
62540,616.6666666666666,-21.490277777777777,54.33333333333333,-5.7976711416061595e-06,0.0505120052683019,0.07630726694935085
62541,616.6666666666666,-21.490277777777777,56.59722222222222,3.593936218422385e-05,0.05832850414087279,0.07631359763235633
62542,616.6666666666666,-21.490277777777777,58.861111111111114,8.208333313029578e-05,0.06618409403024257,0.07631870212373217
62543,616.6666666666666,-21.490277777777777,61.125,0.0001346142588050644,0.07406561197687613,0.07633726597245022
62544,616.6666666666666,-20.077430555555555,40.75,-0.00030106206399562314,0.0037887784596806113,0.07136460819990499
62545,616.6666666666666,-20.077430555555555,43.013888888888886,-0.00025059554899007453,0.011596619303512528,0.07136929832031214
62546,616.6666666666666,-20.077430555555555,45.27777777777778,-0.00020552259860121845,0.019388637673136984,0.07137422248306256
62547,616.6666666666666,-20.077430555555555,47.541666666666664,-0.0001645463318100523,0.02716996107928745,0.07138122091800332
62548,616.6666666666666,-20.077430555555555,49.80555555555556,-0.00012601925154764323,0.03494664285082922,0.07139005957145024
62549,616.6666666666666,-20.077430555555555,52.06944444444444,-8.826434125521836e-05,0.04272596325889047,0.0713988817228788
62550,616.6666666666666,-20.077430555555555,54.33333333333333,-4.969959402377606e-05,0.05051699786486884,0.07140528395341714
62551,616.6666666666666,-20.077430555555555,56.59722222222222,-8.80460071476341e-06,0.05833019858525204,0.07140893563144764
62552,616.6666666666666,-20.077430555555555,58.861111111111114,3.595188917298694e-05,0.0661713801177378,0.07141535915734662
62553,616.6666666666666,-20.077430555555555,61.125,8.592458288187433e-05,0.07402715973127648,0.07143322321529476
62554,616.6666666666666,-18.664583333333333,40.75,-0.0003342457664514532,0.0038017427024918185,0.06648482916080463
62555,616.6666666666666,-18.664583333333333,43.013888888888886,-0.0002869624339246884,0.011610120496534995,0.06648683106329918
62556,616.6666666666666,-18.664583333333333,45.27777777777778,-0.0002444323613473467,0.019400398641989548,0.06648930595328316
62557,616.6666666666666,-18.664583333333333,47.541666666666664,-0.00020541457240932928,0.027179178211343677,0.06649387335828896
62558,616.6666666666666,-18.664583333333333,49.80555555555556,-0.00016839101079210627,0.03495370529870824,0.0665000041037828
62559,616.6666666666666,-18.664583333333333,52.06944444444444,-0.0001318745535573436,0.042731519630902194,0.06650594300107113
62560,616.6666666666666,-18.664583333333333,54.33333333333333,-9.449487607908206e-05,0.05052054308038905,0.0665103258224188
62561,616.6666666666666,-18.664583333333333,56.59722222222222,-5.496555575318812e-05,0.05832795547641686,0.06651424008218063
62562,616.6666666666666,-18.664583333333333,58.861111111111114,-1.2079427891912113e-05,0.06615559154977355,0.06652249277365437
62563,616.6666666666666,-18.664583333333333,61.125,3.510419695344266e-05,0.07399304522434687,0.06654008191672492
62564,616.6666666666666,-17.25173611111111,40.75,-0.000365286407101105,0.003817744460354992,0.06160406598704238
62565,616.6666666666666,-17.25173611111111,43.013888888888886,-0.000321405717569157,0.011626018423493768,0.06160327371497473
62566,616.6666666666666,-17.25173611111111,45.27777777777778,-0.00028194415668010374,0.019413699822240553,0.06160381715435982
62567,616.6666666666666,-17.25173611111111,47.541666666666664,-0.00024550536141759065,0.027189168927844332,0.06160719298232843
62568,616.6666666666666,-17.25173611111111,49.80555555555556,-0.0002105711650673658,0.03496087784923466,0.06161238196218187
62569,616.6666666666666,-17.25173611111111,52.06944444444444,-0.00017581559601352527,0.042736255355393035,0.06161759910349003
