model_id,model_label,n_elems,n_section_calls,z_node,N_node,T_node,MB_node,MT_node
model_6,Model 6 - uniform 32 (32 elements),32,97,5.201250000000e+01,5.000000000000e+06,9.152999999958e+05,2.963911937492e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,5.475000000000e+01,5.000000000000e+06,9.371999999986e+05,2.710350999992e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,5.748750000000e+01,5.000000000000e+06,9.590999999974e+05,2.450794937493e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,6.022500000000e+01,5.000000000000e+06,9.809999999958e+05,2.185243749994e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,6.296250000000e+01,5.000000000000e+06,1.002899999996e+06,1.913697437496e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,6.570000000000e+01,5.000000000000e+06,1.024799999995e+06,1.636155999998e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,6.843750000000e+01,5.000000000000e+06,1.046699999991e+06,1.352619437500e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,7.117500000000e+01,5.000000000000e+06,1.068599999995e+06,1.063087750001e+07,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,7.391250000000e+01,5.000000000000e+06,1.090499999999e+06,7.675609375020e+06,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,7.665000000000e+01,5.000000000000e+06,1.112399999999e+06,4.660390000018e+06,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,7.938750000000e+01,5.000000000000e+06,1.134299999997e+06,1.585219375026e+06,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,8.212500000000e+01,5.000000000000e+06,1.156200000003e+06,1.549902499960e+06,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,8.486250000000e+01,5.000000000000e+06,1.178100000004e+06,4.744975624983e+06,3.000000000000e+06
model_6,Model 6 - uniform 32 (32 elements),32,97,8.760000000000e+01,5.000000000000e+06,1.200000000000e+06,7.999999999985e+06,3.000000000000e+06
