idx,polygon_idx,name,shear_weightabs,area,cx,cy,x0,y0,x1,y1,x2,y2,tau_x,tau_y
37,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.051875000000000004,0.66475,0.0515625,0.66225,0.06375,0.6659999999999999,0.0403125,0.6659999999999999,165137.82026611114,255021.71175001812
38,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.0284375,0.66475,0.028125,0.66225,0.0403125,0.6659999999999999,0.016875,0.6659999999999999,106715.85846748049,311983.3877135627
39,0,flange:flange,0.4166666666666667,4.3945312499999056e-05,0.04,0.6635,0.0515625,0.66225,0.0403125,0.6659999999999999,0.028125,0.66225,143872.26828498766,191225.05580666475
40,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,-0.0071874999999999994,0.6609999999999999,-0.0075,0.6585,0.004687500000000001,0.66225,-0.01875,0.66225,1812.01784388007,332587.18448524055
41,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.005000000000000001,0.66475,0.004687500000000001,0.66225,0.016875,0.6659999999999999,-0.006562499999999999,0.6659999999999999,38356.88728444123,323691.27402793616
42,0,flange:flange,0.4166666666666667,4.394531249999906e-05,-0.0184375,0.66475,-0.01875,0.66225,-0.006562499999999999,0.6659999999999999,-0.03,0.6659999999999999,-28115.024306064784,311319.5526935595
43,0,flange:flange,0.4166666666666667,4.394531249999906e-05,-0.006874999999999999,0.6635,0.004687500000000001,0.66225,-0.006562499999999999,0.6659999999999999,-0.01875,0.66225,1812.01784388007,214056.66570624028
44,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.0278125,0.65975,0.039375,0.6585,0.028125,0.66225,0.0159375,0.6585,111783.99382223997,214233.56006311876
45,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.016562499999999997,0.6635,0.028125,0.66225,0.016875,0.6659999999999999,0.004687500000000001,0.66225,73042.45526259921,210963.17809891579
46,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.004375,0.65975,0.0159375,0.6585,0.004687500000000001,0.66225,-0.0075,0.6585,34793.60766139192,225397.01757833673
47,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.01625,0.661,0.028125,0.66225,0.004687500000000001,0.66225,0.0159375,0.6585,73042.45526259921,340143.5603819415
48,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.0971875,0.65225,0.10875,0.651,0.0975,0.6547499999999999,0.0853125,0.651,234409.0733894442,101631.02628426006
49,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.0859375,0.656,0.0975,0.6547499999999999,0.08625,0.6585,0.0740625,0.6547499999999999,234563.09694205722,122931.66186315939
50,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.07375,0.65225,0.0853125,0.651,0.0740625,0.6547499999999999,0.061875,0.651,251429.79504085612,151730.54403465553
