element_tag,polygon_idx,polygon_name,container_idx,material_tag,weightabs,shear_weightabs,poisson,i,j,k,x,y,z,area,x0,x1,y0,y1,sigma_xx_3d,sigma_yy_3d,sigma_zz_3d,tau_xy_3d,tau_yz_3d,tau_zx_3d
6904,0,flange:flange,,89,1.0,0.4166666666666667,0.2,15,28,22,0.15800000000000003,0.651,3.0,0.0008400000000000007,0.14400000000000002,0.17200000000000001,0.636,0.666,-47034.701525668206,-478.49822243041126,2267260.7808324695,188.8675477107366,33556.54061975579,281393.08782172704
6905,0,flange:flange,,89,1.0,0.4166666666666667,0.2,16,28,22,0.186,0.651,3.0,0.0008400000000000007,0.17200000000000001,0.2,0.636,0.666,-39550.461621135415,83.41083784907823,2205399.141105066,1400.6866090993087,29989.533684762817,261312.86381064606
6906,0,flange:flange,,89,1.0,0.4166666666666667,0.2,17,28,22,0.2138888888888889,0.651,3.0,0.0008333333333333345,0.2,0.2277777777777778,0.636,0.666,-33590.73676034389,362.6069989842945,2143990.419677065,1678.6540480454764,28025.720420603953,244888.28273456544
6907,0,flange:flange,,89,1.0,0.4166666666666667,0.2,18,28,22,0.24166666666666667,0.651,3.0,0.0008333333333333327,0.2277777777777778,0.25555555555555554,0.636,0.666,-28275.242750350735,429.865027885593,2083150.95481178,1595.6853245695434,26817.167128697038,230158.97825401276
6908,0,flange:flange,,89,1.0,0.4166666666666667,0.2,19,28,22,0.26944444444444443,0.651,3.0,0.0008333333333333345,0.25555555555555554,0.2833333333333333,0.636,0.666,-23245.583793212485,431.35168541024905,2022696.9466009901,1427.5975705683231,26041.874650803707,216080.90116416416
6909,0,flange:flange,,89,1.0,0.4166666666666667,0.2,20,28,22,0.2972222222222222,0.651,3.0,0.0008333333333333345,0.2833333333333333,0.3111111111111111,0.636,0.666,-18434.607491627685,422.44234819180565,1962640.5369715723,1260.694480588039,25669.196602987748,201963.02142471075
6910,0,flange:flange,,89,1.0,0.4166666666666667,0.2,21,28,22,0.325,0.651,3.0,0.0008333333333333345,0.3111111111111111,0.3388888888888889,0.636,0.666,-13861.574751689157,430.3527839689632,1902989.491149394,1104.1888117293518,25914.699991047382,186959.0038563311
6911,0,flange:flange,,89,1.0,0.4166666666666667,0.2,22,28,22,0.3527777777777778,0.651,3.0,0.0008333333333333345,0.3388888888888889,0.3666666666666667,0.636,0.666,-9584.879145158571,471.6957386501017,1843769.3346786664,946.3692185282707,27371.027890170615,169545.8898005883
6912,0,flange:flange,,89,1.0,0.4166666666666667,0.2,23,28,22,0.38055555555555554,0.651,3.0,0.0008333333333333327,0.3666666666666667,0.39444444444444443,0.636,0.666,-5720.694844232174,571.8905414082692,1785049.662692522,772.4433439970016,31374.125767412286,146588.4508836021
6913,0,flange:flange,,89,1.0,0.4166666666666667,0.2,24,28,22,0.4083333333333333,0.651,3.0,0.0008333333333333345,0.39444444444444443,0.4222222222222222,0.636,0.666,-2519.581553840777,766.6219497679267,1726992.0128069157,587.6604210337003,40678.463009782135,111443.31961912414
6914,0,flange:flange,,89,1.0,0.4166666666666667,0.2,25,28,22,0.4361111111111111,0.651,3.0,0.0008333333333333345,0.4222222222222222,0.45,0.636,0.666,-533.1218411359005,1566.7622078128043,1669856.4968281158,309.93726521730423,68268.65590788424,48510.172245539725
6915,0,flange:flange,,89,1.0,0.4166666666666667,0.2,0,29,22,-0.28500000000000003,0.681,3.0,0.0008999999999999966,-0.3,-0.27,0.666,0.696,252.19519937015139,-1372.6029195490992,3459574.0496563003,-802.5027776757877,-43727.90839996189,902.0887925600013
6916,0,flange:flange,,89,1.0,0.4166666666666667,0.2,1,29,22,-0.255,0.681,3.0,0.0008999999999999982,-0.27,-0.24,0.666,0.696,518.6582839862676,-212.3001582545694,3399460.743057132,-1626.1829007168612,4043.389906398952,-328.70775961627567
6917,0,flange:flange,,89,1.0,0.4166666666666667,0.2,2,29,22,-0.22499999999999998,0.681,3.0,0.0008999999999999975,-0.24,-0.21,0.666,0.696,761.139150011586,-21.094967228127643,3340121.0563853798,-1973.3966617782912,26123.762142409883,-9876.648649411898
6918,0,flange:flange,,89,1.0,0.4166666666666667,0.2,3,29,22,-0.195,0.681,3.0,0.0008999999999999975,-0.21,-0.18,0.666,0.696,1228.4847615577746,-931.8889657241525,3281409.342912601,-1752.6206794381142,36367.01873949419,-24486.490175488096
6919,0,flange:flange,,89,1.0,0.4166666666666667,0.2,4,29,22,-0.16499999999999998,0.681,3.0,0.0008999999999999975,-0.18,-0.15,0.666,0.696,2956.5185948752332,-2731.6422105786623,3223472.161056863,-661.9615971545379,42899.820005347334,-41620.012273068234
6920,0,flange:flange,,89,1.0,0.4166666666666667,0.2,5,29,22,-0.135,0.681,3.0,0.0008999999999999975,-0.15,-0.12,0.666,0.696,7614.468987292494,-4398.11878876749,3166775.071507742,1891.5189315378666,51013.554101102054,-60746.665097412966
6921,0,flange:flange,,89,1.0,0.4166666666666667,0.2,6,29,22,-0.105,0.681,3.0,0.0008999999999999975,-0.12,-0.09,0.666,0.696,14235.14916270366,17049.68237955752,3115535.3424734627,-4208.998138854901,69897.03077043097,-82258.9780711631
