element_tag,polygon_idx,polygon_name,container_idx,material_tag,weightabs,shear_weightabs,poisson,i,j,k,x,y,z,area,x0,x1,y0,y1,sigma_xx_3d,sigma_yy_3d,sigma_zz_3d,tau_xy_3d,tau_yz_3d,tau_zx_3d,sigma_zz_csf,tau_x_csf,tau_y_csf,potential_triangle_hits,sigma_zz_error,tau_x_error,tau_y_error
6729,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,14,1,22,0.13,-0.075,3.0,0.0008400000000000003,0.116,0.14400000000000002,-0.09,-0.06,2933.033587148064,932.1311539718881,-3292432.147224263,-3532.9719175746045,28298.490285754826,-85464.57299140158,-3338232.2369845207,-129704.72159212866,17793.95507107173,6,-45800.08976025786,-44240.14860072707,-10504.535214683096
6730,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,15,1,22,0.15800000000000003,-0.075,3.0,0.0008399999999999999,0.14400000000000002,0.17200000000000001,-0.09,-0.06,1928.9970087747788,-636.4970458686585,-3309011.159649555,-2893.3832079494996,22264.865985685028,-79860.57407090906,-3375313.0196467405,-120569.54058791201,9893.249417264171,2,-66301.85999718541,-40708.96651700295,-12371.616568420857
6731,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,16,1,22,0.186,-0.075,3.0,0.0008399999999999999,0.17200000000000001,0.2,-0.09,-0.06,1145.4705465114675,-533.5953074073186,-3325538.356872246,-2182.489622200529,28187.579846867982,-72860.25871661492,-3412393.80230896,-109797.31798605714,6333.824750533016,2,-86855.44543671375,-36937.05926944222,-21853.755096334964
6732,3,flange_bottom_right:flange_bottom_right,,92,0.5,0.20833333333333334,0.2,17,1,22,0.2138888888888889,-0.075,3.0,0.0008333333333333337,0.2,0.2277777777777778,-0.09,-0.06,577.243597217137,-112.12797801953275,-1965463.4822997155,-1521.966461663445,15235.676301419735,-65264.27677562771,-2029016.1405930792,-98515.49784207562,2664.003341676046,2,-63552.65829336364,-33251.22106644791,-12571.67295974369
6733,3,flange_bottom_right:flange_bottom_right,,92,0.5,0.20833333333333334,0.2,18,1,22,0.24166666666666667,-0.075,3.0,0.000833333333333332,0.2277777777777778,0.25555555555555554,-0.09,-0.06,115.23817929584766,-55.982783069019206,-1974471.1034789463,-1485.8098376790683,8097.200119290501,-56945.272593035676,-2050655.25279092,-86142.09930832963,1931.2935606607546,2,-76184.14931197371,-29196.82671529396,-6165.9065586297465
6734,3,flange_bottom_right:flange_bottom_right,,92,0.5,0.20833333333333334,0.2,19,1,22,0.26944444444444443,-0.075,3.0,0.0008333333333333337,0.25555555555555554,0.2833333333333333,-0.09,-0.06,-183.24410390947014,-61.564447233162355,-1983676.9504015883,-1380.0688460469246,4816.798477442935,-47460.223643776655,-2072294.3649887606,-76676.90055024035,1662.73857127099,2,-88617.41458717221,-29216.67690646369,-3154.059906171945
6735,3,flange_bottom_right:flange_bottom_right,,92,0.5,0.20833333333333334,0.2,20,1,22,0.2972222222222222,-0.075,3.0,0.0008333333333333337,0.2833333333333333,0.3111111111111111,-0.09,-0.06,-423.4726571489591,-82.31220904382644,-1993133.9514779295,-1308.108031898737,3751.824045159544,-37326.64593484874,-2093933.4771866014,-63899.81358675597,1484.4058571895587,2,-100799.52570867189,-26573.167651907228,-2267.4181879699854
6736,3,flange_bottom_right:flange_bottom_right,,92,0.5,0.20833333333333334,0.2,21,1,22,0.325,-0.075,3.0,0.0008333333333333337,0.3111111111111111,0.3388888888888889,-0.09,-0.06,-546.6665863132803,-76.05641154991463,-2002842.3808252946,-1252.4701779087386,4244.141616423925,-27093.65902007868,-2115572.589384442,-52608.5961065607,1411.8552711709506,6,-112730.20855914755,-25514.937086482016,-2832.2863452529746
6737,3,flange_bottom_right:flange_bottom_right,,92,0.5,0.20833333333333334,0.2,22,1,22,0.3527777777777778,-0.075,3.0,0.0008333333333333337,0.3388888888888889,0.3666666666666667,-0.09,-0.06,-555.3199470142135,-73.53733462962555,-2012811.0830000374,-1182.1633364756904,6598.36169000715,-17251.97850611061,-2137211.701582283,-41233.96196413475,1375.1641142197575,2,-124400.61858224543,-23981.983458024144,-5223.197575787392
6738,3,flange_bottom_right:flange_bottom_right,,92,0.5,0.20833333333333334,0.2,23,1,22,0.38055555555555554,-0.075,3.0,0.000833333333333332,0.3666666666666667,0.39444444444444443,-0.09,-0.06,-468.2492578434176,-73.53938862378709,-2023025.4937134124,-1065.5878715217113,12260.581382379558,-8543.439547733095,-2158850.8137801234,-28138.17489755961,1353.359705057616,2,-135825.32006671093,-19594.735349826515,-10907.221677321942
6739,3,flange_bottom_right:flange_bottom_right,,92,0.5,0.20833333333333334,0.2,24,1,22,0.4083333333333333,-0.075,3.0,0.0008333333333333337,0.39444444444444443,0.4222222222222222,-0.09,-0.06,-315.86120898637455,-97.27091212867526,-2033442.7014185372,-856.8472154438496,24736.20084801068,-2450.23396420603,-2180489.925977964,-18253.275408668756,1342.4076491718492,2,-147047.22455942677,-15803.041444462726,-23393.793198838834
6740,3,flange_bottom_right:flange_bottom_right,,92,0.5,0.20833333333333334,0.2,25,1,22,0.4361111111111111,-0.075,3.0,0.0008333333333333337,0.4222222222222222,0.45,-0.09,-0.06,-147.27721868507797,-52.82878635410452,-2043955.1542695547,-413.3176829914252,50229.34778935897,-405.56508683909976,-2202129.0381758045,-4995.097307258597,1330.7829055252175,2,-158173.8839062499,-4589.532220419497,-48898.56488383376
6741,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,0,2,22,-0.28500000000000003,-0.045,3.0,0.0008999999999999991,-0.3,-0.27,-0.06,-0.03,-234.10946553875692,-48.962038850877434,-2758421.806515069,-737.1397606184086,-74958.91343191701,-1671.1749661900103,-2566065.709435335,6824.120331977474,1978.9460344193503,6,192356.09707973432,8495.295298167484,76937.85946633636
6742,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,1,2,22,-0.255,-0.045,3.0,0.0009000000000000007,-0.27,-0.24,-0.06,-0.03,-602.8550762092927,-113.71832817513496,-2780395.150359273,-1470.6796610727906,-32771.98109763551,-2260.1933114618687,-2605795.11943057,20572.50109103369,2240.2852310120747,6,174600.03092870302,22832.69440249556,35012.26632864758
6743,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,2,2,22,-0.22499999999999998,-0.045,3.0,0.0009,-0.24,-0.21,-0.06,-0.03,-978.3922870024107,-38.662252475041896,-2802474.1883605616,-1739.2132257247965,-12973.22100262437,4574.869804437583,-2645524.529425806,34541.45581399044,2949.5867274434618,6,156949.65893475572,29966.586009552855,15922.807730067832
6744,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,3,2,22,-0.195,-0.045,3.0,0.0009,-0.21,-0.18,-0.06,-0.03,-1277.7090376884444,81.3995080696186,-2824876.176890025,-1771.3831150233746,-3535.657015505247,15999.860099915106,-2685253.939421041,48915.25881866001,4584.888474435235,6,139622.23746898398,32915.39871874491,8120.545489940482
