case,title,N,component,point,rms_error_mm,max_abs_error_mm,x_over_L_at_max_error,local_baseline_rms_mm,baseline_kind,spike_score,fem3d_component_peak_mm,flagged,severity,response
bending_lagrange,Bending half-wave - Lagrange,16,uz,plus,0.0220069208,0.0314031993782,0.55,0.0215529547422,adjacent,1.02106282239,11.0977590903,False,,../output/bending_halfwave_v2_lagrange_N16/response.txt
bending_lagrange,Bending half-wave - Lagrange,18,uz,plus,0.0227026292605,0.0323654064182,0.55,0.0227720108308,adjacent,0.996953208445,11.0977590903,False,,../output/bending_halfwave_v2_lagrange_N18/response.txt
bending_lagrange,Bending half-wave - Lagrange,21,uz,plus,0.0235371008615,0.0332239162282,0.55,0.0220069208,previous_3,1.06953176573,11.0977590903,False,,../output/bending_halfwave_v2_lagrange_N21/response.txt
bending_lagrange,Bending half-wave - Lagrange,8,uz,minus,0.0143832100038,0.0203179184863,0.55,,none,,11.0977590903,False,,../output/bending_halfwave_v2_lagrange_N08/response.txt
bending_lagrange,Bending half-wave - Lagrange,12,uz,minus,0.0202307032397,0.0287634870363,0.55,0.0182506146623,adjacent,1.10849435014,11.0977590903,False,,../output/bending_halfwave_v2_lagrange_N12/response.txt
bending_lagrange,Bending half-wave - Lagrange,16,uz,minus,0.0221180193208,0.0314772724563,0.55,0.0214314330534,adjacent,1.03203641425,11.0977590903,False,,../output/bending_halfwave_v2_lagrange_N16/response.txt
bending_lagrange,Bending half-wave - Lagrange,18,uz,minus,0.0226321628671,0.0323274572563,0.55,0.0227710474768,adjacent,0.99390082473,11.0977590903,False,,../output/bending_halfwave_v2_lagrange_N18/response.txt
bending_lagrange,Bending half-wave - Lagrange,21,uz,minus,0.0234240756328,0.0335095381063,0.55,0.0221180193208,previous_3,1.0590494245,11.0977590903,False,,../output/bending_halfwave_v2_lagrange_N21/response.txt
bending_lagrange,Bending half-wave - Lagrange,8,uz,bottom_mid,0.0143808894734,0.0203106551783,0.55,,none,,11.0977590903,False,,../output/bending_halfwave_v2_lagrange_N08/response.txt
bending_lagrange,Bending half-wave - Lagrange,12,uz,bottom_mid,0.0202467329465,0.0287861097983,0.55,0.0181898315311,adjacent,1.11307973974,11.0977590903,False,,../output/bending_halfwave_v2_lagrange_N12/response.txt
bending_lagrange,Bending half-wave - Lagrange,16,uz,bottom_mid,0.0219987735887,0.0315266426983,0.55,0.0214522864796,adjacent,1.02547453902,11.0977590903,False,,../output/bending_halfwave_v2_lagrange_N16/response.txt
bending_lagrange,Bending half-wave - Lagrange,18,uz,bottom_mid,0.0226578400127,0.0322563770083,0.55,0.0226284612998,adjacent,1.00129830803,11.0977590903,False,,../output/bending_halfwave_v2_lagrange_N18/response.txt
bending_lagrange,Bending half-wave - Lagrange,21,uz,bottom_mid,0.0232581490109,0.0330944652283,0.55,0.0219987735887,previous_3,1.05724752869,11.0977590903,False,,../output/bending_halfwave_v2_lagrange_N21/response.txt
torsion_legendre,Torsion half-wave - Legendre,8,ux,center,2.10341767124e-07,4.69947380915e-07,1,,none,,0.00992870552879,False,,../output/torsion_halfwave_legendre_N08/response.txt
torsion_legendre,Torsion half-wave - Legendre,12,ux,center,1.62809060157e-07,4.26149520915e-07,1,2.99746295742e-07,adjacent,0.543156203994,0.00992870552879,False,,../output/torsion_halfwave_legendre_N12/response.txt
torsion_legendre,Torsion half-wave - Legendre,16,ux,center,3.8915082436e-07,8.31689794949e-07,0.85,8.26804012712e-07,adjacent,0.470668765968,0.00992870552879,False,,../output/torsion_halfwave_legendre_N16/response.txt
torsion_legendre,Torsion half-wave - Legendre,18,ux,center,1.49079896527e-06,4.46967306509e-06,1,1.9515542361e-05,adjacent,0.0763903425123,0.00992870552879,False,,../output/torsion_halfwave_legendre_N18/response.txt
torsion_legendre,Torsion half-wave - Legendre,21,ux,center,3.86419338976e-05,8.85695367059e-05,1,1.82528760007e-05,adjacent,2.11703261974,0.00992870552879,False,,../output/torsion_halfwave_legendre_N21/response.txt
torsion_legendre,Torsion half-wave - Legendre,22,ux,center,3.50149530361e-05,8.39466765684e-05,0.9,2.8043939331e-05,adjacent,1.2485746964,0.00992870552879,False,,../output/torsion_halfwave_legendre_N22/response.txt
torsion_legendre,Torsion half-wave - Legendre,23,ux,center,1.74459447645e-05,4.23121368129e-05,1,0.000112743154219,adjacent,0.154740612725,0.00992870552879,False,,../output/torsion_halfwave_legendre_N23/response.txt
torsion_legendre,Torsion half-wave - Legendre,24,ux,center,0.000190471355403,0.000263599275953,0.1,3.69219331886e-05,adjacent,5.15875900728,0.00992870552879,True,MEDIUM,../output/torsion_halfwave_legendre_N24/response.txt
torsion_legendre,Torsion half-wave - Legendre,25,ux,center,5.63979216127e-05,9.75590247021e-05,1,3.50149530361e-05,previous_3,1.6106810583,0.00992870552879,False,,../output/torsion_halfwave_legendre_N25/response.txt
torsion_legendre,Torsion half-wave - Legendre,8,ux,plus,0.000179106254559,0.000268750777526,0.6,,none,,0.00992870552879,False,,../output/torsion_halfwave_legendre_N08/response.txt
