CSF-CUF RESPONSE
======================
problem.type = torsion_halfwave

STATION RESPONSES
-----------------
x/L       x [mm]             y [mm]               z [mm]               point         ux [mm]             uy [mm]             uz [mm]
 0.55     5.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -9.415375469703e-05  -1.204136602977e-01  3.710999999686e-04
 0.55     5.500000000000e+02  -2.777500000000e+01  6.262500000000e+01  plus          1.157374924379e-03  6.514719608060e-02  8.478880716253e-02
 0.55     5.500000000000e+02  1.043750000000e+01  -4.175000000000e+01  minus         6.361320830663e-04  -2.448767438993e-01  -3.223639454783e-02
 0.55     5.500000000000e+02  0.000000000000e+00  -4.175000000000e+01  bottom_mid    -1.381882118920e-04  -2.443037517146e-01  2.423837769350e-04
 0.60     6.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.273630159293e-04  -1.200388050285e-01  3.586960616463e-04
 0.60     6.000000000000e+02  -2.730000000000e+01  6.150000000000e+01  plus          9.349416796785e-04  6.431624282795e-02  8.417894228559e-02
 0.60     6.000000000000e+02  1.025000000000e+01  -4.100000000000e+01  minus         -6.158418295899e-04  -2.440695550299e-01  -3.215211724869e-02
 0.60     6.000000000000e+02  0.000000000000e+00  -4.100000000000e+01  bottom_mid    -1.303019912463e-04  -2.434883650460e-01  2.477486287035e-04
 0.65     6.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.529896035268e-04  -1.158390397663e-01  3.307174455765e-04
 0.65     6.500000000000e+02  -2.682500000000e+01  6.037500000000e+01  plus          7.107469106221e-04  6.143849204168e-02  8.083921674249e-02
 0.65     6.500000000000e+02  1.006250000000e+01  -4.025000000000e+01  minus         -2.095288622489e-03  -2.353099178356e-01  -3.098760016684e-02
 0.65     6.500000000000e+02  0.000000000000e+00  -4.025000000000e+01  bottom_mid    -1.142991861654e-04  -2.347326650213e-01  2.100571366932e-04
 0.70     7.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.689858567955e-04  -1.071733996760e-01  2.882705840981e-04
 0.70     7.000000000000e+02  -2.635000000000e+01  5.925000000000e+01  plus          4.946434212565e-04  5.631521238424e-02  7.448085473488e-02
 0.70     7.000000000000e+02  9.875000000000e+00  -3.950000000000e+01  minus         -3.740649454277e-03  -2.173175696104e-01  -2.857503621937e-02
 0.70     7.000000000000e+02  0.000000000000e+00  -3.950000000000e+01  bottom_mid    -1.358591344159e-04  -2.168128380190e-01  1.522045762090e-04
 0.75     7.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.737104888919e-04  -9.365604046548e-02  2.335110128634e-04
 0.75     7.500000000000e+02  -2.587500000000e+01  5.812500000000e+01  plus          2.742218409302e-04  4.887561736877e-02  6.500803244428e-02
 0.75     7.500000000000e+02  9.687500000000e+00  -3.875000000000e+01  minus         -5.389275470711e-03  -1.894178907108e-01  -2.484096206127e-02
 0.75     7.500000000000e+02  0.000000000000e+00  -3.875000000000e+01  bottom_mid    -1.938281258012e-04  -1.890606511951e-01  1.009149564539e-04
 0.80     8.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.659479922264e-04  -7.544584240896e-02  1.701407292073e-04
 0.80     8.000000000000e+02  -2.540000000000e+01  5.700000000000e+01  plus          5.810243211323e-05  3.937068747509e-02  5.263999314751e-02
 0.80     8.000000000000e+02  9.500000000000e+00  -3.800000000000e+01  minus         -6.783153680023e-03  -1.521199248142e-01  -1.987728100870e-02
 0.80     8.000000000000e+02  0.000000000000e+00  -3.800000000000e+01  bottom_mid    -2.420378526166e-04  -1.519180180660e-01  6.618916736522e-05
 0.85     8.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.449077363265e-04  -5.360580659971e-02  1.040654269858e-04
 0.85     8.500000000000e+02  -2.492500000000e+01  5.587500000000e+01  plus          -1.123343952185e-04  2.848993499658e-02  3.809377718224e-02
 0.85     8.500000000000e+02  9.312500000000e+00  -3.725000000000e+01  minus         -7.553677147696e-03  -1.077819882358e-01  -1.402091969264e-02
 0.85     8.500000000000e+02  0.000000000000e+00  -3.725000000000e+01  bottom_mid    -2.317997750277e-04  -1.076540953607e-01  3.931908419660e-05
 0.90     9.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -1.102027688677e-04  -3.053224344792e-02  4.421159428204e-05
 0.90     9.000000000000e+02  -2.445000000000e+01  5.475000000000e+01  plus          -1.883215176816e-04  1.733689732792e-02  2.278697474121e-02
 0.90     9.000000000000e+02  9.125000000000e+00  -3.650000000000e+01  minus         -7.183026658331e-03  -6.135170224873e-02  -7.940086801878e-03
 0.90     9.000000000000e+02  0.000000000000e+00  -3.650000000000e+01  bottom_mid    -1.571841856145e-04  -6.119683827933e-02  9.383005007240e-06
 0.95     9.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        -6.180832075927e-05  -1.045375342029e-02  3.503492743868e-06
 0.95     9.500000000000e+02  -2.397500000000e+01  5.362500000000e+01  plus          -1.472904418353e-04  7.311763726372e-03  9.002011013008e-03
 0.95     9.500000000000e+02  8.937500000000e+00  -3.575000000000e+01  minus         -4.965720828194e-03  -2.119033287905e-02  -2.727637092392e-03
 0.95     9.500000000000e+02  0.000000000000e+00  -3.575000000000e+01  bottom_mid    -6.271683502260e-05  -2.101410125108e-02  -1.566049536653e-05
 1.00     1.000000000000e+03  0.000000000000e+00  0.000000000000e+00  center        0.000000000000e+00  0.000000000000e+00  0.000000000000e+00
 1.00     1.000000000000e+03  -2.350000000000e+01  5.250000000000e+01  plus          0.000000000000e+00  4.183530429691e-20  0.000000000000e+00
 1.00     1.000000000000e+03  8.750000000000e+00  -3.500000000000e+01  minus         0.000000000000e+00  -2.778346902926e-20  0.000000000000e+00
 1.00     1.000000000000e+03  0.000000000000e+00  -3.500000000000e+01  bottom_mid    0.000000000000e+00  0.000000000000e+00  0.000000000000e+00
